avg(price),product_category_name_english
1098.340541294643,computers
624.2856589492999,small_appliances_home_oven_and_coffee
476.1249574132326,home_appliances_2
342.12485754264975,agro_industry_and_commerce
281.61600007169386,musical_instruments
280.7784683300575,small_appliances
264.5686664581299,portable_kitchen_food_processors
225.69318169716632,fixed_telephony
208.99236981893324,construction_tools_safety
201.13598356691074,watches_gifts
185.26922462925768,air_conditioning
183.75027473694686,furniture_bedroom
171.77222527398004,pc_gamer
167.3579693616881,cool_stuff
164.86964421255308,kitchen_dining_laundry_garden_furniture
162.01105920666424,office_furniture
158.79868343001917,music
155.73475766836378,construction_tools_construction
154.40728134784882,costruction_tools_tools
148.02093294485292,industry_commerce_and_business
146.7849998474121,la_cuisine
141.6449966430664,security_and_services
139.95752318972256,auto
139.2541198363671,audio
138.4918385294308,consoles_games
137.56311227627938,home_construction
137.01105334317944,furniture_living_room
135.13157941793142,construction_tools_lights
134.9586185189436,home_confort
134.34417293231212,baby
130.16353060696215,health_beauty
128.5988825913314,luggage_accessories
117.54836056711375,toys
116.73731166530541,perfumery
116.51390283098924,computers_accessories
115.80210515300622,art
114.94947323046233,furniture_mattress_and_upholstery
114.34428525509044,sports_leisure
111.99955065579096,others
111.63019600313835,garden_tools
110.07468414967894,pet_shop
108.08658336275187,signaling_and_security
108.04995833324784,costruction_tools_garden
104.30651176807493,party_supplies
103.98382645358372,home_appliances
96.29805497328441,cine_photo
93.74046847224236,dvds_blu_ray
93.2963274885822,bed_bath_table
91.75336903970678,stationery
91.24909980504076,market_place
90.78814774131995,housewares
90.70373548944312,tablets_printing_image
89.93423638089013,fashion_shoes
87.56449391603299,furniture_decor
84.73215285606453,books_general_interest
81.80166692444773,fashion_male_clothing
77.33083321253459,books_imported
75.58375020821889,arts_and_craftmanship
75.24546548757924,fashion_bags_accessories
72.83626032239609,fashion_underwear_beach
71.52082437522402,books_technical
71.2312502861023,fashion_childrens_clothes
71.21397786418466,telephony
70.6503339767456,fashion_sport
59.17862809616532,drinks
58.40916689236959,fashio_female_clothing
57.913530686033475,electronics
57.63413718354468,food
57.52169982124777,christmas_supplies
54.60244621990396,food_drink
52.142857142857146,cds_dvds_musicals
40.1946151929024,diapers_and_hygiene
33.63757595871434,flowers
25.342333221435545,home_comfort_2
