year_buy,month_buy,total sold ALL sellers,total sold TECH sellers
2017,1,17509.5299429894,119808.899786472
2017,2,36615.5200476646,247692.189829349
2017,3,69083.7995142937,373676.619487762
2017,4,58324.0398645401,359987.109723567
2017,5,103131.049586296,504774.049295902
2017,6,77096.3597517014,434899.290120363
2017,7,92744.1499524116,496804.920393466
2017,8,120014.85962224,574045.850476503
2017,9,153742.04944849,624899.509392261
2017,10,179128.099514008,664582.130019187
2017,11,220767.219496727,1009598.82120704
2017,12,151555.119624615,744899.589775085
2018,1,200566.119894981,948205.121340274
2018,2,197148.099544525,845342.601324319
2018,3,232884.199310303,983358.611420154
2018,4,200730.009450912,995534.789380908
2018,5,220884.539647102,991203.439726352
2018,6,182150.989729881,870338.32946372
2018,7,188168.17989254,891858.830048084
2018,8,173027.249558449,860202.079723119
